"kepid","kepoi_name","kepler_name","koi_disposition","koi_pdisposition","koi_score","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_period_err1","koi_period_err2","koi_time0bk","koi_time0bk_err1","koi_time0bk_err2","koi_impact","koi_impact_err1","koi_impact_err2","koi_duration","koi_duration_err1","koi_duration_err2","koi_depth","koi_depth_err1","koi_depth_err2","koi_prad","koi_prad_err1","koi_prad_err2","koi_teq","koi_teq_err1","koi_teq_err2","koi_insol","koi_insol_err1","koi_insol_err2","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_steff_err1","koi_steff_err2","koi_slogg","koi_slogg_err1","koi_slogg_err2","koi_srad","koi_srad_err1","koi_srad_err2","ra","dec","koi_kepmag"
"8678691","K04238.01","","FALSE POSITIVE","FALSE POSITIVE","","1","0","0","0","369.819993000","8.8950000e-03","-8.8950000e-03","179.3674000","1.520000e-02","-1.520000e-02","0.9179","0.0360","-0.6339","20.23200","0.96800","-0.96800","1.5990e+03","7.620e+01","-7.620e+01","4.25","8.580e+00","-3.700e-01","201.0","","","0.38","3.56","-0.09","42.10","","","4806.00","149.00","-110.00","4.495","0.078","-0.856","0.8390","1.6940","-0.0730","287.225130","44.899841","15.089"
"9640924","K04239.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","1","1","2.178159350","1.3830000e-05","-1.3830000e-05","132.0241400","5.310000e-03","-5.310000e-03","0.5030","0.4420","-0.3040","1.83900","0.16600","-0.16600","1.1630e+02","1.020e+01","-1.020e+01","1.22","4.100e-01","-1.400e-01","1561.0","","","1398.42","1391.09","-454.80","14.10","1","q1_q17_dr25_tce","6258.00","174.00","-239.00","4.413","0.072","-0.217","1.0980","0.3700","-0.1230","287.966550","46.338490","14.975"
"3558849","K04307.01","","CANDIDATE","CANDIDATE","0.2980","0","0","0","0","160.850075000","3.7640000e-03","-3.7640000e-03","144.5039000","1.810000e-02","-1.810000e-02","0.7690","0.0270","-0.5560","9.42700","0.64600","-0.64600","4.2810e+02","3.080e+01","-3.080e+01","3.41","5.800e-01","-7.200e-01","413.0","","","6.87","3.07","-2.82","16.10","2","q1_q17_dr25_tce","5999.00","80.00","-89.00","4.168","0.162","-0.108","1.5070","0.2580","-0.3150","294.949830","38.605190","14.218"
"11151677","K04308.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","1","0","1","0","0.720460644","3.4400000e-07","-3.4400000e-07","132.0129090","4.010000e-04","-4.010000e-04","1.2720","2.4900","-0.1130","1.78460","0.02230","-0.02230","2.1115e+03","2.050e+01","-2.050e+01","37.33","1.284e+01","-4.270e+00","2240.0","","","5954.82","6047.46","-1900.16","117.20","2","q1_q17_dr25_tce","6304.00","175.00","-219.00","4.435","0.056","-0.224","1.0580","0.3640","-0.1210","297.722140","48.710258","14.828"
"11037128","K04309.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","0","3.794872100","2.4830000e-05","-2.4830000e-05","134.4003900","5.490000e-03","-5.490000e-03","1.1680","7.1000","-0.0970","1.71300","0.25400","-0.25400","3.0510e+02","3.440e+01","-3.440e+01","16.10","4.430e+00","-1.180e+00","1083.0","","","325.63","270.28","-81.18","11.30","1","q1_q17_dr25_tce","5883.00","177.00","-195.00","4.580","0.035","-0.184","0.7930","0.2180","-0.0580","295.195680","48.567421","15.302"
"6587002","K00612.03","Kepler-196 d","CONFIRMED","CANDIDATE","0.9950","0","0","0","0","122.080495300","5.6770000e-04","-5.6770000e-04","155.0253200","4.010000e-03","-4.010000e-03","0.9570","0.0050","-0.6680","4.05400","0.29900","-0.29900","7.9990e+02","3.720e+01","-3.720e+01","2.92","2.000e-01","-1.500e-01","297.0","","","1.83","0.44","-0.31","23.30","3","q1_q17_dr25_tce","5132.00","102.00","-102.00","4.571","0.032","-0.052","0.7700","0.0540","-0.0400","284.968510","42.079201","14.157"
"5175024","K02563.02","","CANDIDATE","CANDIDATE","0.9800","0","0","0","0","6.261422700","1.0550000e-04","-1.0550000e-04","133.2299000","1.230000e-02","-1.230000e-02","0.0690","0.3890","-0.0690","4.77900","0.43900","-0.43900","5.1400e+01","5.700e+00","-5.700e+00","0.81","2.500e-01","-1.100e-01","1146.0","","","407.58","365.13","-140.10","10.60","2","q1_q17_dr25_tce","6384.00","151.00","-207.00","4.361","0.087","-0.203","1.1210","0.3520","-0.1510","288.095640","40.365971","13.973"
"10991114","K04374.01","","CANDIDATE","CANDIDATE","1.0000","0","0","0","0","3.703867410","2.0250000e-05","-2.0250000e-05","132.6959600","3.530000e-03","-3.530000e-03","0.0330","0.4160","-0.0330","1.41000","0.10900","-0.10900","1.2570e+02","1.190e+01","-1.190e+01","0.86","1.700e-01","-7.000e-02","1012.0","","","247.20","146.25","-61.28","13.10","1","q1_q17_dr25_tce","5496.00","149.00","-149.00","4.592","0.032","-0.120","0.7760","0.1520","-0.0650","298.183410","48.443810","14.108"
"11969092","K04375.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","1","0","0","0","0.638437699","5.2500000e-07","-5.2500000e-07","131.5925520","7.080000e-04","-7.080000e-04","0.9040","0.0390","-0.6410","0.30280","0.05010","-0.05010","2.8680e+02","1.380e+01","-1.380e+01","2.48","2.400e-01","-1.400e-01","1709.0","","","2024.34","711.27","-442.00","25.80","1","q1_q17_dr25_tce","5073.00","149.00","-164.00","4.571","0.020","-0.080","0.8240","0.0800","-0.0460","294.639890","50.334190","15.230"
"2570773","K04376.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","1","1.891285100","3.0840000e-05","-3.0840000e-05","132.6760000","1.870000e-02","-1.870000e-02","1.2160","3.3630","-0.0910","6.18200","0.34600","-0.34600","1.2234e+03","5.720e+01","-5.720e+01","19.96","1.640e+00","-1.640e+00","1061.0","","","299.44","103.69","-81.11","25.70","1","q1_q17_dr25_tce","4700.00","167.00","-167.00","4.605","0.036","-0.040","0.7070","0.0580","-0.0580","290.330720","37.882092","16.851"
