kepoi_name,exoplanet_archive_disposition,disposition_using_kepler_data,status,planet_like_prob,planet_like_label,kepid_x,kepler_name_x,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,kepid_y,kepler_name_y,koi_disposition,koi_pdisposition
K04238.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.49098372,0,8678691,,,1,0,0,0,369.819993,0.008895,-0.008895,179.3674,0.0152,-0.0152,0.9179,0.036,-0.6339,20.232,0.968,-0.968,1599.0,76.2,-76.2,4.25,8.58,-0.37,201.0,,,0.38,3.56,-0.09,42.1,,,4806.0,149.0,-110.0,4.495,0.078,-0.856,0.839,1.694,-0.073,287.22513,44.899841,15.089,8678691,,FALSE POSITIVE,FALSE POSITIVE
K04239.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0008031716,0,9640924,,0.0,0,1,1,1,2.17815935,1.383e-05,-1.383e-05,132.02414,0.00531,-0.00531,0.503,0.442,-0.304,1.839,0.166,-0.166,116.3,10.2,-10.2,1.22,0.41,-0.14,1561.0,,,1398.42,1391.09,-454.8,14.1,1.0,q1_q17_dr25_tce,6258.0,174.0,-239.0,4.413,0.072,-0.217,1.098,0.37,-0.123,287.96655,46.33849,14.975,9640924,,FALSE POSITIVE,FALSE POSITIVE
K04307.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9993687,1,3558849,,0.298,0,0,0,0,160.850075,0.003764,-0.003764,144.5039,0.0181,-0.0181,0.769,0.027,-0.556,9.427,0.646,-0.646,428.1,30.8,-30.8,3.41,0.58,-0.72,413.0,,,6.87,3.07,-2.82,16.1,2.0,q1_q17_dr25_tce,5999.0,80.0,-89.0,4.168,0.162,-0.108,1.507,0.258,-0.315,294.94983,38.60519,14.218,3558849,,CANDIDATE,CANDIDATE
K04308.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0025346556,0,11151677,,0.0,1,0,1,0,0.720460644,3.44e-07,-3.44e-07,132.012909,0.000401,-0.000401,1.272,2.49,-0.113,1.7846,0.0223,-0.0223,2111.5,20.5,-20.5,37.33,12.84,-4.27,2240.0,,,5954.82,6047.46,-1900.16,117.2,2.0,q1_q17_dr25_tce,6304.0,175.0,-219.0,4.435,0.056,-0.224,1.058,0.364,-0.121,297.72214,48.710258,14.828,11151677,,FALSE POSITIVE,FALSE POSITIVE
K04309.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0203006,0,11037128,,0.0,0,0,1,0,3.7948721,2.483e-05,-2.483e-05,134.40039,0.00549,-0.00549,1.168,7.1,-0.097,1.713,0.254,-0.254,305.1,34.4,-34.4,16.1,4.43,-1.18,1083.0,,,325.63,270.28,-81.18,11.3,1.0,q1_q17_dr25_tce,5883.0,177.0,-195.0,4.58,0.035,-0.184,0.793,0.218,-0.058,295.19568,48.567421,15.302,11037128,,FALSE POSITIVE,FALSE POSITIVE
K00612.03,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99807066,1,6587002,Kepler-196 d,0.995,0,0,0,0,122.0804953,0.0005677,-0.0005677,155.02532,0.00401,-0.00401,0.957,0.005,-0.668,4.054,0.299,-0.299,799.9,37.2,-37.2,2.92,0.2,-0.15,297.0,,,1.83,0.44,-0.31,23.3,3.0,q1_q17_dr25_tce,5132.0,102.0,-102.0,4.571,0.032,-0.052,0.77,0.054,-0.04,284.96851,42.079201,14.157,6587002,Kepler-196 d,CONFIRMED,CANDIDATE
K02563.02,CANDIDATE,CANDIDATE,CANDIDATE,0.9979474,1,5175024,,0.98,0,0,0,0,6.2614227,0.0001055,-0.0001055,133.2299,0.0123,-0.0123,0.069,0.389,-0.069,4.779,0.439,-0.439,51.4,5.7,-5.7,0.81,0.25,-0.11,1146.0,,,407.58,365.13,-140.1,10.6,2.0,q1_q17_dr25_tce,6384.0,151.0,-207.0,4.361,0.087,-0.203,1.121,0.352,-0.151,288.09564,40.365971,13.973,5175024,,CANDIDATE,CANDIDATE
K04374.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9947129,1,10991114,,1.0,0,0,0,0,3.70386741,2.025e-05,-2.025e-05,132.69596,0.00353,-0.00353,0.033,0.416,-0.033,1.41,0.109,-0.109,125.7,11.9,-11.9,0.86,0.17,-0.07,1012.0,,,247.2,146.25,-61.28,13.1,1.0,q1_q17_dr25_tce,5496.0,149.0,-149.0,4.592,0.032,-0.12,0.776,0.152,-0.065,298.18341,48.44381,14.108,10991114,,CANDIDATE,CANDIDATE
K04375.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.24763021,0,11969092,,0.0,1,0,0,0,0.638437699,5.25e-07,-5.25e-07,131.592552,0.000708,-0.000708,0.904,0.039,-0.641,0.3028,0.0501,-0.0501,286.8,13.8,-13.8,2.48,0.24,-0.14,1709.0,,,2024.34,711.27,-442.0,25.8,1.0,q1_q17_dr25_tce,5073.0,149.0,-164.0,4.571,0.02,-0.08,0.824,0.08,-0.046,294.63989,50.33419,15.23,11969092,,FALSE POSITIVE,FALSE POSITIVE
K04376.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.000987909,0,2570773,,0.0,0,0,1,1,1.8912851,3.084e-05,-3.084e-05,132.676,0.0187,-0.0187,1.216,3.363,-0.091,6.182,0.346,-0.346,1223.4,57.2,-57.2,19.96,1.64,-1.64,1061.0,,,299.44,103.69,-81.11,25.7,1.0,q1_q17_dr25_tce,4700.0,167.0,-167.0,4.605,0.036,-0.04,0.707,0.058,-0.058,290.33072,37.882092,16.851,2570773,,FALSE POSITIVE,FALSE POSITIVE
K04377.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99740064,1,4945764,,0.926,0,0,0,0,19.8751355,0.0002829,-0.0002829,148.3935,0.0119,-0.0119,0.919,0.023,-0.639,8.041,0.271,-0.271,109.0,8.4,-8.4,2.49,0.51,-0.42,1061.0,,,299.47,154.58,-102.25,15.2,1.0,q1_q17_dr25_tce,6918.0,72.0,-83.0,4.021,0.148,-0.121,2.004,0.413,-0.338,297.16089,40.042858,13.543,4945764,,CANDIDATE,CANDIDATE
K04378.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.38473344,0,6356885,,,1,0,0,0,343.42046,0.04607,-0.04607,327.4112,0.054,-0.054,0.3519,0.1303,-0.3517,11.11,2.0,-2.0,482.7,60.2,-60.2,2.15,0.88,-0.21,270.0,,,1.27,1.52,-0.37,10.0,,,6115.0,161.0,-199.0,4.469,0.053,-0.291,0.967,0.397,-0.094,289.44867,41.731411,15.223,6356885,,FALSE POSITIVE,FALSE POSITIVE
K07658.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0012669264,0,3542542,,0.0,0,0,1,1,3.47148164,8.236e-05,-8.236e-05,133.7138,0.0191,-0.0191,0.719,0.261,-0.482,4.679,0.736,-0.736,122.7,17.1,-17.1,0.85,0.14,-0.06,970.0,,,209.73,110.56,-51.5,9.5,1.0,q1_q17_dr25_tce,5297.0,159.0,-159.0,4.626,0.032,-0.097,0.716,0.118,-0.055,290.84921,38.63184,15.795,3542542,,FALSE POSITIVE,FALSE POSITIVE
K04444.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99878186,1,11718389,Kepler-1956 b,1.0,0,0,0,0,5.94373492,2.99e-05,-2.99e-05,135.25897,0.00432,-0.00432,0.197,0.279,-0.197,1.847,0.124,-0.124,301.0,25.4,-25.4,1.14,0.06,-0.1,674.0,,,48.82,10.68,-12.84,13.2,1.0,q1_q17_dr25_tce,4391.0,118.0,-131.0,4.598,0.053,-0.018,0.682,0.032,-0.06,294.62097,49.89415,15.583,11718389,Kepler-1956 b,CONFIRMED,CANDIDATE
K04445.01,FALSE POSITIVE,FALSE POSITIVE,MODEL_POSITIVE,0.7221384,1,11124703,,,1,0,0,0,244.60373,0.0115,-0.0115,230.282,0.0317,-0.0317,0.2652,0.214,-0.265,10.87,1.1,-1.1,769.8,85.8,-85.8,2.1,0.33,-0.15,235.0,,,0.72,0.37,-0.17,17.7,,,5166.0,161.0,-140.0,4.593,0.026,-0.107,0.771,0.123,-0.056,284.53635,48.749611,15.319,11124703,,FALSE POSITIVE,FALSE POSITIVE
K04446.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9998148,1,10329196,Kepler-1605 b,0.895,0,0,0,0,85.7567919,0.0005965,-0.0005965,162.71914,0.00617,-0.00617,0.713,0.003,-0.538,5.695,0.195,-0.195,159.1,10.9,-10.9,2.99,0.83,-0.45,528.0,,,18.44,13.35,-5.93,16.9,1.0,q1_q17_dr25_tce,5037.0,70.0,-81.0,3.783,0.094,-0.175,2.213,0.614,-0.33,287.13489,47.488621,12.429,10329196,Kepler-1605 b,CONFIRMED,CANDIDATE
K04447.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9979017,1,10604592,Kepler-1957 b,1.0,0,0,0,0,2.18660188,1.056e-05,-1.056e-05,131.94832,0.00363,-0.00363,0.828,0.02,-0.577,1.585,0.123,-0.123,122.3,10.3,-10.3,0.98,0.08,-0.1,1099.0,,,345.07,106.33,-99.8,14.2,1.0,q1_q17_dr25_tce,4904.0,148.0,-148.0,4.535,0.078,-0.048,0.772,0.06,-0.08,293.71136,47.887539,14.793,10604592,Kepler-1957 b,CONFIRMED,CANDIDATE
K03043.02,CANDIDATE,CANDIDATE,CANDIDATE,0.9665568,1,9834731,,,0,0,0,0,7.2929891,0.0001735,-0.0001735,135.6364,0.0206,-0.0206,0.022,0.4125,-0.0217,4.053,0.946,-0.946,72.5,13.9,-13.9,0.73,0.25,-0.06,904.0,,,158.19,155.12,-39.48,7.1,,,5959.0,148.0,-171.0,4.549,0.031,-0.252,0.856,0.291,-0.07,293.43079,46.692089,14.829,9834731,,CANDIDATE,CANDIDATE
