kepoi_name,status
K04238.01,FALSE_POSITIVE
K04239.01,FALSE_POSITIVE
K04307.01,CANDIDATE
K04308.01,FALSE_POSITIVE
K04309.01,FALSE_POSITIVE
K00612.03,CONFIRMED
K02563.02,CANDIDATE
K04374.01,CANDIDATE
K04375.01,FALSE_POSITIVE
K04376.01,FALSE_POSITIVE
K04377.01,CANDIDATE
K04378.01,FALSE_POSITIVE
K07658.01,FALSE_POSITIVE
K04444.01,CONFIRMED
K04445.01,FALSE_POSITIVE
K04446.01,CONFIRMED
K04447.01,CONFIRMED
K03043.02,CANDIDATE
K04240.01,FALSE_POSITIVE
K04241.01,CONFIRMED
K02458.02,CONFIRMED
K04242.01,CANDIDATE
K04243.01,FALSE_POSITIVE
K04310.01,CONFIRMED
K07668.01,CANDIDATE
K04311.01,FALSE_POSITIVE
K04312.01,CONFIRMED
K04313.01,FALSE_POSITIVE
K04314.01,FALSE_POSITIVE
K04379.01,FALSE_POSITIVE
K04380.01,FALSE_POSITIVE
K04381.01,FALSE_POSITIVE
K02732.04,CANDIDATE
K04382.01,CONFIRMED
K04173.01,FALSE_POSITIVE
K04174.01,FALSE_POSITIVE
K07659.01,FALSE_POSITIVE
K04175.01,FALSE_POSITIVE
K04176.01,FALSE_POSITIVE
K04177.01,FALSE_POSITIVE
K04244.01,FALSE_POSITIVE
K04245.01,CANDIDATE
K07663.01,FALSE_POSITIVE
K04246.01,CONFIRMED
K04247.01,CANDIDATE
K04248.01,FALSE_POSITIVE
K04315.01,FALSE_POSITIVE
K04316.01,FALSE_POSITIVE
K04317.01,FALSE_POSITIVE
K04318.01,CANDIDATE
K04319.01,FALSE_POSITIVE
K04382.02,CANDIDATE
K04383.01,CONFIRMED
K04384.01,CONFIRMED
K04385.01,CONFIRMED
K04386.01,CONFIRMED
K04178.01,CANDIDATE
K04179.01,FALSE_POSITIVE
K00566.03,CANDIDATE
K04180.01,FALSE_POSITIVE
K04181.01,FALSE_POSITIVE
K04182.01,FALSE_POSITIVE
K04249.01,FALSE_POSITIVE
K04250.01,FALSE_POSITIVE
K04251.01,CANDIDATE
K02485.02,CONFIRMED
K04252.01,CONFIRMED
K02579.02,CONFIRMED
K04320.01,CONFIRMED
K04321.01,FALSE_POSITIVE
K07669.01,FALSE_POSITIVE
K04322.01,FALSE_POSITIVE
K04322.02,FALSE_POSITIVE
K04387.01,FALSE_POSITIVE
K04388.01,FALSE_POSITIVE
K04389.01,CANDIDATE
K04390.01,CANDIDATE
K02744.02,CANDIDATE
K02365.02,CONFIRMED
K04183.01,FALSE_POSITIVE
K04184.01,CONFIRMED
K04185.01,CONFIRMED
K07660.01,FALSE_POSITIVE
K04186.01,FALSE_POSITIVE
K04253.01,CANDIDATE
K04254.01,FALSE_POSITIVE
K04255.01,CONFIRMED
K04256.01,FALSE_POSITIVE
K04257.01,CANDIDATE
K04323.01,CANDIDATE
K04324.01,FALSE_POSITIVE
K04325.01,CANDIDATE
K04326.01,FALSE_POSITIVE
K04327.01,CONFIRMED
K07670.01,CANDIDATE
K04391.01,CANDIDATE
K04392.01,FALSE_POSITIVE
K04393.01,CANDIDATE
K04394.01,FALSE_POSITIVE
K04395.01,CANDIDATE
K04396.01,FALSE_POSITIVE
K04187.01,FALSE_POSITIVE
K04188.01,CONFIRMED
K04189.01,CONFIRMED
K04190.01,CONFIRMED
K04191.01,FALSE_POSITIVE
K07695.01,FALSE_POSITIVE
K04258.01,FALSE_POSITIVE
K04259.01,CANDIDATE
K04260.01,FALSE_POSITIVE
K04261.01,CONFIRMED
K02485.03,CONFIRMED
K04328.01,FALSE_POSITIVE
K02579.03,CANDIDATE
K04329.01,CANDIDATE
K04330.01,FALSE_POSITIVE
K04331.01,CANDIDATE
K04396.02,FALSE_POSITIVE
K04396.03,FALSE_POSITIVE
K04397.01,FALSE_POSITIVE
K04398.01,CANDIDATE
K00647.02,CANDIDATE
K02842.03,CONFIRMED
K04192.01,CONFIRMED
K02420.02,CANDIDATE
K07689.01,FALSE_POSITIVE
K04193.01,FALSE_POSITIVE
K04194.01,CONFIRMED
K04195.01,FALSE_POSITIVE
K04262.01,FALSE_POSITIVE
K04263.01,FALSE_POSITIVE
K07696.01,FALSE_POSITIVE
K04264.01,CANDIDATE
K04265.01,FALSE_POSITIVE
K04266.01,FALSE_POSITIVE
K04332.01,FALSE_POSITIVE
K04333.01,CANDIDATE
K04334.01,CANDIDATE
K04335.01,CONFIRMED
K04336.01,FALSE_POSITIVE
K04399.01,CANDIDATE
K04400.01,CONFIRMED
K04401.01,FALSE_POSITIVE
K04402.01,FALSE_POSITIVE
K04403.01,CONFIRMED
K04196.01,FALSE_POSITIVE
K04197.01,FALSE_POSITIVE
K04198.01,CANDIDATE
K04199.01,CONFIRMED
K04200.01,FALSE_POSITIVE
K04267.01,CONFIRMED
K04268.01,CONFIRMED
K04269.01,CONFIRMED
K04269.02,CANDIDATE
K04270.01,FALSE_POSITIVE
K04337.01,CONFIRMED
K04338.01,FALSE_POSITIVE
K02585.02,CONFIRMED
K04339.01,FALSE_POSITIVE
K04340.01,FALSE_POSITIVE
K04404.01,FALSE_POSITIVE
K07679.01,CANDIDATE
K04405.01,CANDIDATE
K04406.01,FALSE_POSITIVE
K04407.01,CANDIDATE
K04408.01,FALSE_POSITIVE
K04201.01,FALSE_POSITIVE
K04202.01,CONFIRMED
K07684.01,FALSE_POSITIVE
K02433.03,CONFIRMED
K04203.01,FALSE_POSITIVE
K04204.01,CONFIRMED
K02498.02,CONFIRMED
K04271.01,FALSE_POSITIVE
K07690.01,FALSE_POSITIVE
K04272.01,FALSE_POSITIVE
K04273.01,CANDIDATE
K04274.01,CANDIDATE
K04617.01,CONFIRMED
K04618.01,FALSE_POSITIVE
K07697.01,FALSE_POSITIVE
K04619.01,FALSE_POSITIVE
K04620.01,FALSE_POSITIVE
K04621.01,FALSE_POSITIVE
K04690.01,FALSE_POSITIVE
K04691.01,CANDIDATE
K04692.01,FALSE_POSITIVE
K00806.04,FALSE_POSITIVE
K03194.01,FALSE_POSITIVE
K04479.01,FALSE_POSITIVE
K04480.01,CANDIDATE
K04481.01,FALSE_POSITIVE
K07685.01,CANDIDATE
K04482.01,CANDIDATE
K04483.01,FALSE_POSITIVE
K04549.01,CANDIDATE
K04550.01,CONFIRMED
K04551.01,CANDIDATE
K07691.01,FALSE_POSITIVE
K04552.01,FALSE_POSITIVE
K04553.01,FALSE_POSITIVE
K04622.01,CONFIRMED
K04623.01,FALSE_POSITIVE
K03179.01,CONFIRMED
K04624.01,FALSE_POSITIVE
K04625.01,CONFIRMED
K04693.01,CONFIRMED
K04694.01,CANDIDATE
K04695.01,FALSE_POSITIVE
K04696.01,FALSE_POSITIVE
K04697.01,FALSE_POSITIVE
K07680.01,CANDIDATE
K04484.01,CONFIRMED
K04485.01,FALSE_POSITIVE
K04486.01,FALSE_POSITIVE
K03158.02,CONFIRMED
K04487.01,CANDIDATE
K03164.01,FALSE_POSITIVE
K04554.01,CANDIDATE
K04555.01,CANDIDATE
